LeadID,Address,Owner,PrimaryPhone,PhonesCount,PrimaryEmail,EmailsCount,HasDNC,Cached
dup-test-1,"113 Elgin Ave"," Collingswood",+1-555-5011,1,duptest1@example.com,2,0,0
dup-test-2,"113 Elgin Ave"," Collingswood",+1-555-8517,1,duptest2@example.com,2,0,0
dup-test-3,"113 Elgin Ave"," Collingswood",+1-555-6469,1,,0,0,1
dup-test-4,"113 Elgin Ave"," Collingswood",+1-555-6281,3,duptest4@example.com,2,0,1
dup-test-5,"113 Elgin Ave"," Collingswood",,0,duptest5@example.com,1,0,0
dup-test-6,"113 Elgin Ave"," Collingswood",,0,duptest6@example.com,2,0,0
dup-test-7,"113 Elgin Ave"," Collingswood",+1-555-9022,2,duptest7@example.com,1,0,0
dup-test-8,"113 Elgin Ave"," Collingswood",,0,duptest8@example.com,2,1,1
dup-test-9,"113 Elgin Ave"," Collingswood",+1-555-8193,2,duptest9@example.com,2,0,0
dup-test-10,"113 Elgin Ave"," Collingswood",+1-555-8481,2,,0,0,0
dup-test-11,"113 Elgin Ave"," Collingswood",,0,duptest11@example.com,1,0,0
dup-test-12,"113 Elgin Ave"," Collingswood",+1-555-3029,2,duptest12@example.com,2,0,0
dup-test-13,"113 Elgin Ave"," Collingswood",+1-555-6140,1,duptest13@example.com,2,0,0
dup-test-14,"113 Elgin Ave"," Collingswood",,0,,0,0,0
dup-test-15,"113 Elgin Ave"," Collingswood",+1-555-5777,3,duptest15@example.com,2,0,0
dup-test-16,"113 Elgin Ave"," Collingswood",+1-555-5245,2,duptest16@example.com,1,0,1
dup-test-17,"113 Elgin Ave"," Collingswood",+1-555-8748,2,,0,0,1
dup-test-18,"113 Elgin Ave"," Collingswood",,0,duptest18@example.com,2,0,0
dup-test-19,"113 Elgin Ave"," Collingswood",+1-555-2447,3,duptest19@example.com,1,0,0
dup-test-20,"113 Elgin Ave"," Collingswood",+1-555-6803,1,duptest20@example.com,2,0,1
dup-test-21,"113 Elgin Ave"," Collingswood",+1-555-4710,3,duptest21@example.com,2,0,0
dup-test-22,"113 Elgin Ave"," Collingswood",,0,duptest22@example.com,1,0,0
