LeadID,Address,Owner,PrimaryPhone,PhonesCount,PrimaryEmail,EmailsCount,HasDNC,Cached
dup-test-1,"113 Elgin Ave"," Collingswood",+1-555-2124,1,duptest1@example.com,2,0,1
dup-test-2,"113 Elgin Ave"," Collingswood",+1-555-3682,3,duptest2@example.com,1,0,0
dup-test-3,"113 Elgin Ave"," Collingswood",+1-555-4934,1,,0,0,1
dup-test-4,"113 Elgin Ave"," Collingswood",,0,,0,0,0
dup-test-5,"113 Elgin Ave"," Collingswood",+1-555-7908,3,duptest5@example.com,2,0,0
dup-test-6,"113 Elgin Ave"," Collingswood",+1-555-7400,1,duptest6@example.com,2,0,0
dup-test-7,"113 Elgin Ave"," Collingswood",,0,duptest7@example.com,1,0,1
dup-test-8,"113 Elgin Ave"," Collingswood",+1-555-7382,1,duptest8@example.com,2,0,0
dup-test-9,"113 Elgin Ave"," Collingswood",+1-555-1089,3,duptest9@example.com,1,0,1
dup-test-10,"113 Elgin Ave"," Collingswood",+1-555-5785,3,,0,1,0
dup-test-11,"113 Elgin Ave"," Collingswood",+1-555-7956,3,,0,0,0
dup-test-12,"113 Elgin Ave"," Collingswood",+1-555-6852,3,duptest12@example.com,2,0,0
dup-test-13,"113 Elgin Ave"," Collingswood",+1-555-9729,1,duptest13@example.com,1,0,0
dup-test-14,"113 Elgin Ave"," Collingswood",+1-555-6013,2,duptest14@example.com,2,0,0
dup-test-15,"113 Elgin Ave"," Collingswood",+1-555-7997,1,duptest15@example.com,1,0,0
dup-test-16,"113 Elgin Ave"," Collingswood",+1-555-7733,1,,0,1,1
dup-test-17,"113 Elgin Ave"," Collingswood",+1-555-2808,1,duptest17@example.com,2,0,0
dup-test-18,"113 Elgin Ave"," Collingswood",+1-555-6552,2,,0,0,0
dup-test-19,"113 Elgin Ave"," Collingswood",+1-555-5620,1,duptest19@example.com,1,0,0
dup-test-20,"113 Elgin Ave"," Collingswood",+1-555-4839,2,duptest20@example.com,2,0,0
dup-test-21,"113 Elgin Ave"," Collingswood",+1-555-3399,2,duptest21@example.com,1,0,0
dup-test-22,"113 Elgin Ave"," Collingswood",+1-555-3901,1,duptest22@example.com,1,0,1
dup-test-23,"113 Elgin Ave"," Collingswood",,0,,0,1,0
dup-test-24,"113 Elgin Ave"," Collingswood",+1-555-4749,1,duptest24@example.com,1,1,0
dup-test-25,"113 Elgin Ave"," Collingswood",+1-555-3488,3,duptest25@example.com,1,1,0
dup-test-26,"113 Elgin Ave"," Collingswood",+1-555-1053,1,duptest26@example.com,1,0,0
dup-test-27,"113 Elgin Ave"," Collingswood",+1-555-2213,1,duptest27@example.com,1,1,0
dup-test-28,"113 Elgin Ave"," Collingswood",+1-555-3868,3,duptest28@example.com,2,0,1
dup-test-29,"113 Elgin Ave"," Collingswood",+1-555-7988,2,duptest29@example.com,2,0,0
dup-test-30,"113 Elgin Ave"," Collingswood",,0,duptest30@example.com,1,1,1
dup-test-31,"113 Elgin Ave"," Collingswood",,0,duptest31@example.com,1,0,1
dup-test-32,"113 Elgin Ave"," Collingswood",,0,duptest32@example.com,2,0,1
dup-test-33,"113 Elgin Ave"," Collingswood",+1-555-9665,1,duptest33@example.com,2,1,0
dup-test-34,"113 Elgin Ave"," Collingswood",+1-555-7242,2,duptest34@example.com,2,0,1
dup-test-35,"113 Elgin Ave"," Collingswood",,0,duptest35@example.com,1,0,0
dup-test-36,"113 Elgin Ave"," Collingswood",,0,duptest36@example.com,2,0,0
dup-test-37,"113 Elgin Ave"," Collingswood",+1-555-6641,2,duptest37@example.com,2,0,0
dup-test-38,"113 Elgin Ave"," Collingswood",+1-555-5280,3,duptest38@example.com,2,0,1
dup-test-39,"113 Elgin Ave"," Collingswood",+1-555-2393,2,duptest39@example.com,2,0,1
dup-test-40,"113 Elgin Ave"," Collingswood",+1-555-5012,1,duptest40@example.com,2,0,0
dup-test-41,"113 Elgin Ave"," Collingswood",,0,,0,0,0
